Feature,ANOVA_F_score,p_value,Selected
HangSeng,5.8436439603403025,0.015676959894205793,True
LQD,5.466498099653782,0.019432476521646234,True
US10Y,4.3686386088819456,0.03666795472864359,True
BND,3.4874622129707658,0.0619069224723075,True
ARIMA_Return_Forecast,2.716122192197657,0.09941604751882566,True
IEF,2.43378767066293,0.11882318769960266,True
MA20,2.430988256211702,0.11903540263358302,True
TLT,1.7500318862047057,0.18594682513809221,True
Imports_GDP_Pct,1.7185439981987651,0.18995431495448137,True
Nikkei225,1.4406386599975585,0.23010567056608905,True
Exports_GDP_Pct,1.184193220802321,0.27656823418947846,True
Recession_Probability,1.1391237348242438,0.2859006794508564,True
Inflation_Annual_Pct,0.9264429614893952,0.33584594101422005,True
Fed_Funds_Rate,0.7903957944056472,0.3740328595899798,True
Volatility_20d,0.7736304521892342,0.3791480559283017,True
Yield_Curve_Spread,0.6861366064684219,0.4075300081448401,True
Meta,0.5530572416405102,0.4571139925958876,True
MSCIWorld,0.5429535587770805,0.46125359368381624,True
OECD_Unemp_rate_pct_USA,0.5354297914708804,0.46437497013191753,True
Unemployment_Rate,0.5091449103586887,0.4755500446592683,True
Google,0.5022025387334951,0.4785744083724164,False
DowJones,0.3958053552779638,0.5292987413296734,False
Personal_Consumption_Expenditures,0.30873457697990925,0.5784881898688083,False
Industrial_Production,0.3018995967922442,0.5827240444867704,False
GDP_Current_USD,0.2844902440176346,0.5938021804190401,False
Real_GDP,0.2747797395890943,0.6001718159765932,False
Inflation_CPI,0.22041816375253254,0.6387465592605912,False
OECD_CPI_2015idx_USA,0.21354441163142357,0.6440280293085476,False
NASDAQ,0.17432867083086376,0.6763150478604603,False
US2Y,0.16365637184397475,0.6858334485425426,False
Momentum,0.14017566084971803,0.7081258914700526,False
M2_Money_Supply,0.13770458573521407,0.710592969871651,False
Apple,0.10565198792534067,0.7451663074414663,False
Return,0.10565198792534067,0.7451663074414663,False
DAX,0.09455666225157264,0.7584780000423057,False
FTSE100,0.08249202692316808,0.7739628522628077,False
Public_Debt_GDP_Pct,0.07143575483068386,0.7892711821171483,False
MA50,0.06989097654671207,0.7915089306733976,False
Unemployment_Total_Pct,0.03484509597472026,0.8519299006952294,False
S&P500,0.026962231135665433,0.8695804137528462,False
CAC40,0.01289386582175824,0.9095991899598744,False
Amazon,0.0065107020807752625,0.9356933029106217,False
Microsoft,0.0028833695769110226,0.9571791875454895,False
RSI,0.002785488329209679,0.9579115916264467,False
