Dataset,Model,Accuracy,Precision (class 1),Recall (class 1),F1-score (class 1),F2-score,ROC-AUC,Computation Time (sec),TN,FP,FN,TP,SourceFile,ModelStatus
APPLE_DIRECTION_8D,LR,0.5177478580171359,0.5208070617906684,0.9672131147540984,0.6770491803278689,0.8256697321071571,0.5192397766168257,0.1312661170959472,10,380,14,413,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
APPLE_DIRECTION_8D,KNN,0.4871481028151774,0.5120481927710844,0.3981264637002342,0.4479578392621871,0.4166666666666667,0.4778448327628655,0.0107474327087402,228,162,257,170,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
APPLE_DIRECTION_8D,CART,0.4859241126070991,0.5085158150851582,0.4894613583138173,0.4988066825775656,0.4931571495988674,0.4851107908484958,0.0409119129180908,188,202,218,209,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
APPLE_DIRECTION_8D,SVC,0.5226438188494492,0.5226438188494492,1.0,0.6864951768488746,0.8455445544554455,0.5183150183150182,2.366060495376587,0,390,0,427,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
APPLE_DIRECTION_8D,MLP,0.5067319461444308,0.5226415094339623,0.6487119437939111,0.5788923719958202,0.6188561215370867,0.4850117096018734,7.647316217422485,137,253,150,277,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
APPLE_DIRECTION_8D,ABR,0.5238678090575275,0.5235148514851485,0.990632318501171,0.6850202429149798,0.8406200317965024,0.5065333573530295,1.9633069038391116,5,385,4,423,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
APPLE_DIRECTION_8D,GBR,0.5238678090575275,0.5276162790697675,0.8501170960187353,0.6511210762331838,0.7575125208681135,0.500936768149883,4.36903190612793,65,325,64,363,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
APPLE_DIRECTION_8D,RFR,0.5201958384332925,0.5283630470016207,0.7634660421545667,0.6245210727969349,0.7010752688172043,0.5062301086891251,3.199182748794556,99,291,101,326,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
APPLE_DIRECTION_8D,ETR,0.5446756425948592,0.5442834138486312,0.7915690866510539,0.6450381679389313,0.7256333190210391,0.5163393983066115,1.2200214862823486,107,283,89,338,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
Cleaned_Features_for_ML,LR,0.5238678090575275,0.528023598820059,0.8384074941451991,0.6479638009049774,0.7502095557418273,0.5138173302107728,0.2999238967895508,70,320,69,358,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,KNN,0.4957160342717258,0.5168539325842697,0.5386416861826698,0.5275229357798165,0.5341384115188109,0.5051402149762805,0.9097282886505128,175,215,197,230,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,CART,0.5116279069767442,0.53125,0.5573770491803278,0.544,0.551948051948052,0.5215306551372125,0.1074333190917968,180,210,189,238,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,SVC,0.5226438188494492,0.5226438188494492,1.0,0.6864951768488746,0.8455445544554455,0.4947006545367201,3.262937068939209,0,390,0,427,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,MLP,0.5250917992656059,0.5970149253731343,0.2810304449648712,0.3821656050955414,0.3143006809848088,0.5282831922176184,6.862926244735718,309,81,307,120,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,ABR,0.5091799265605875,0.5164556962025316,0.955503512880562,0.6705012325390304,0.8166533226581265,0.5004263496066774,3.8187084197998047,8,382,19,408,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,GBR,0.5250917992656059,0.5277382645803699,0.8688524590163934,0.6566371681415929,0.7693902944836167,0.5044076142436799,8.829042911529541,58,332,56,371,model_results_Step4_T1.csv,Step4_1D_All_variables
