Dataset,Model,Accuracy,Precision (class 1),Recall (class 1),F1-score (class 1),F2-score,ROC-AUC,Computation Time (sec),TN,FP,FN,TP
APPLE_TREND_8D,LR,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909091,0.9083044982698962,0.8894398487906755,0.011238574981689453,216,31,32,315
APPLE_TREND_8D,KNN,0.8619528619528619,0.8885630498533724,0.8731988472622478,0.8808139534883721,0.876229034123771,0.887678073481198,0.33469462394714355,209,38,44,303
APPLE_TREND_8D,CART,0.8720538720538721,0.9069069069069069,0.8703170028818443,0.888235294117647,0.8773968622893666,0.8561936319406364,0.023509740829467773,216,31,45,302
APPLE_TREND_8D,SVC,0.8905723905723906,0.9122807017543859,0.899135446685879,0.9056603773584906,0.9017341040462428,0.8962361012262423,0.8685626983642578,217,30,35,312
APPLE_TREND_8D,MLP,0.6835016835016835,0.6574257425742575,0.9567723342939481,0.7793427230046949,0.8769149498151083,0.8120617438075348,3.6630258560180664,74,173,15,332
APPLE_TREND_8D,ABR,0.5656565656565656,0.908256880733945,0.28530259365994237,0.4342105263157895,0.3306613226452906,0.7025516573522034,1.6360340118408203,237,10,248,99
APPLE_TREND_8D,GBR,0.8838383838383839,0.8948863636363636,0.9077809798270894,0.9012875536480687,0.9051724137931034,0.8743539184916403,3.2184031009674072,210,37,32,315
APPLE_TREND_8D,RFR,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909091,0.9083044982698962,0.8908866046739549,1.798259973526001,216,31,32,315
APPLE_TREND_8D,ETR,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909091,0.9083044982698962,0.8973678376833237,0.709871768951416,216,31,32,315
APPLE_TREND_8D,VOTING_SOFT,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909091,0.9083044982698962,0.8961369284439207,2.659259080886841,216,31,32,315
APPLE_TREND_8D,BAGGING_CART,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909091,0.9083044982698962,0.8921350149925912,2.935865640640259,216,31,32,315
APPLE_TREND_8D,BAGGING_LR,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909091,0.9083044982698962,0.8885181252843924,1.7975988388061523,216,31,32,315
APPLE_TREND_8D,STACKING,0.8922558922558923,0.9101449275362319,0.9048991354466859,0.9075144508670521,0.9059434506635892,0.8894398487906754,28.039970636367798,216,31,33,314
