Dataset,Model,Accuracy,Precision (class 1),Recall (class 1),F1-score (class 1),F2-score,ROC-AUC,Computation Time (sec),TN,FP,FN,TP
APPLE_TREND_8D,LR,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909091,0.9083044982698962,0.8911199523970645,0.059929609298706055,216,31,32,315
APPLE_TREND_8D,KNN,0.5774410774410774,0.8157894736842105,0.3573487031700288,0.4969939879759519,0.4025974025974026,0.6833938092849059,0.5380346775054932,219,28,223,124
APPLE_TREND_8D,CART,0.8636363636363636,0.8778409090909091,0.8904899135446686,0.8841201716738197,0.8879310344827587,0.8191030113523667,0.04297161102294922,204,43,38,309
APPLE_TREND_8D,SVC,0.8787878787878788,0.9154078549848943,0.8731988472622478,0.8938053097345132,0.881326352530541,0.8934184274696939,1.0036191940307617,219,28,44,303
APPLE_TREND_8D,MLP,0.6363636363636364,0.6201834862385321,0.9740634005763689,0.757847533632287,0.8742886704604242,0.8142960482563092,2.4147567749023438,40,207,9,338
APPLE_TREND_8D,ABR,0.8686868686868687,0.8788732394366198,0.899135446685879,0.8888888888888888,0.8950086058519794,0.8844928770607522,2.6950724124908447,204,43,35,312
APPLE_TREND_8D,GBR,0.867003367003367,0.8785310734463276,0.8962536023054755,0.8873038516405135,0.8926521239954076,0.8823460780081438,6.177170276641846,204,43,36,311
APPLE_TREND_8D,RFR,0.8905723905723906,0.9171597633136095,0.8933717579250721,0.9051094890510949,0.8980301274623407,0.9003663559252821,2.4917445182800293,219,28,37,310
APPLE_TREND_8D,ETR,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909091,0.9083044982698962,0.9010022284707557,0.8291754722595215,216,31,32,315
APPLE_TREND_8D,VOTING_SOFT,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909091,0.9083044982698962,0.8978170320503098,3.537090301513672,216,31,32,315
APPLE_TREND_8D,BAGGING_CART,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909091,0.9083044982698962,0.9015155934615967,5.6472320556640625,216,31,32,315
APPLE_TREND_8D,BAGGING_LR,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909091,0.9083044982698962,0.8887164708490356,3.17061448097229,216,31,32,315
APPLE_TREND_8D,STACKING,0.8737373737373737,0.8953488372093024,0.8876080691642652,0.8914616497829233,0.8891454965357968,0.8869663629257136,47.26891851425171,211,36,39,308
