Dataset,Model,Accuracy,Precision (class 1),Recall (class 1),F1-score (class 1),F2-score,ROC-AUC,Computation Time (sec),TN,FP,FN,TP
APPLE_TREND_8D_ARIMA,LR,0.8975903614457831,0.9411764705882353,0.897196261682243,0.9186602870813397,0.9056603773584906,0.8796134959607159,0.011113166809082031,53,6,11,96
APPLE_TREND_8D_ARIMA,KNN,0.35542168674698793,0.5,0.009345794392523364,0.01834862385321101,0.011627906976744186,0.5119594487565341,0.3626275062561035,58,1,106,1
APPLE_TREND_8D_ARIMA,CART,0.3493975903614458,0.3333333333333333,0.009345794392523364,0.01818181818181818,0.01160092807424594,0.09345794392523361,0.014029502868652344,57,2,106,1
APPLE_TREND_8D_ARIMA,SVC,0.35542168674698793,0.0,0.0,0.0,0.0,0.8927609694281642,0.1124274730682373,59,0,107,0
APPLE_TREND_8D_ARIMA,MLP,0.608433734939759,0.8888888888888888,0.4485981308411215,0.5962732919254659,0.4979253112033195,0.8027878979882781,0.7155389785766602,53,6,59,48
APPLE_TREND_8D_ARIMA,ABR,0.35542168674698793,0.0,0.0,0.0,0.0,0.8482496435925867,1.0619986057281494,59,0,107,0
APPLE_TREND_8D_ARIMA,GBR,0.6867469879518072,0.9230769230769231,0.5607476635514018,0.6976744186046512,0.6085192697768763,0.9253920481546016,1.8859100341796875,54,5,47,60
APPLE_TREND_8D_ARIMA,RFR,0.3614457831325301,1.0,0.009345794392523364,0.018518518518518517,0.011655011655011656,0.9231744020275622,0.7929704189300537,59,0,106,1
APPLE_TREND_8D_ARIMA,ETR,0.4036144578313253,0.9,0.08411214953271028,0.15384615384615385,0.10273972602739725,0.9178678916521463,0.38102269172668457,58,1,98,9
APPLE_TREND_8D_ARIMA,VOTING_SOFT,0.4397590361445783,0.8888888888888888,0.14953271028037382,0.256,0.17937219730941703,0.8881672738792967,0.9034984111785889,57,2,91,16
APPLE_TREND_8D_ARIMA,BAGGING_CART,0.39759036144578314,0.8181818181818182,0.08411214953271028,0.15254237288135594,0.10250569476082004,0.9086012989070172,1.7896766662597656,57,2,98,9
APPLE_TREND_8D_ARIMA,BAGGING_LR,0.8975903614457831,0.9411764705882353,0.897196261682243,0.9186602870813397,0.9056603773584906,0.8786630761919847,1.7155513763427734,53,6,11,96
APPLE_TREND_8D_ARIMA,STACKING,0.39156626506024095,0.875,0.06542056074766354,0.12173913043478261,0.08027522935779817,0.9131949944558846,14.115856647491455,58,1,100,7
